Point, City, Longtiude, Lattiude
ZCOM, Hoyerswerda, 51.43744, 14.25608
Lausitzer Platz, Hoyerswerda, 51.43843, 14.26245
Johanneum, Hoyerswerda, 51.43609, 14.24694
Léon-Foucault Gymnasium, Hoyerswerda, 51.43650,14.25319
Waldfriedhof, Hoyerswerda (Kühnicht), 51.44086, 14.2856
Krabat Mühle, Schwarzkollm, 51.42831, 14.14887
Rostiger Nagel, Senftenberg, 51.52726, 14.09906
Marktplatz, Hoyerswerda, 51.43909, 14.24384
Johanneskirche, Hoyerswerda, 51.43789, 14.2428
Kirche "Heilige Familie", Hoyerswerda, 51.43251, 14.24145
Martin Luther King Haus, Hoyerswerda, 51.43758, 14.25668
